Created as New Dataset,Sample 386 By Analyst Date Monday, February 10 2025
cm-1,%T
4000.00,98.49
3999.00,98.50
3998.00,98.49
3997.00,98.49
3996.00,98.49
3995.00,98.49
3994.00,98.49
3993.00,98.49
3992.00,98.49
3991.00,98.49
3990.00,98.49
3989.00,98.49
3988.00,98.49
3987.00,98.49
3986.00,98.49
3985.00,98.49
3984.00,98.49
3983.00,98.49
3982.00,98.49
3981.00,98.49
3980.00,98.49
3979.00,98.50
3978.00,98.50
3977.00,98.50
3976.00,98.50
3975.00,98.49
3974.00,98.49
3973.00,98.49
3972.00,98.49
3971.00,98.49
3970.00,98.49
3969.00,98.49
3968.00,98.49
3967.00,98.49
3966.00,98.50
3965.00,98.50
3964.00,98.49
3963.00,98.49
3962.00,98.49
3961.00,98.49
3960.00,98.49
3959.00,98.49
3958.00,98.49
3957.00,98.49
3956.00,98.49
3955.00,98.49
3954.00,98.49
3953.00,98.49
3952.00,98.48
3951.00,98.48
3950.00,98.48
3949.00,98.48
3948.00,98.48
3947.00,98.48
3946.00,98.48
3945.00,98.48
3944.00,98.48
3943.00,98.48
3942.00,98.48
3941.00,98.48
3940.00,98.48
3939.00,98.49
3938.00,98.49
3937.00,98.48
3936.00,98.48
3935.00,98.48
3934.00,98.48
3933.00,98.48
3932.00,98.48
3931.00,98.48
3930.00,98.48
3929.00,98.48
3928.00,98.47
3927.00,98.47
3926.00,98.47
3925.00,98.47
3924.00,98.47
3923.00,98.46
3922.00,98.46
3921.00,98.47
3920.00,98.46
3919.00,98.46
3918.00,98.46
3917.00,98.46
3916.00,98.46
3915.00,98.47
3914.00,98.47
3913.00,98.47
3912.00,98.48
3911.00,98.48
3910.00,98.48
3909.00,98.47
3908.00,98.47
3907.00,98.47
3906.00,98.46
3905.00,98.45
3904.00,98.43
3903.00,98.41
3902.00,98.41
3901.00,98.41
3900.00,98.42
3899.00,98.42
3898.00,98.42
3897.00,98.42
3896.00,98.43
3895.00,98.44
3894.00,98.44
3893.00,98.45
3892.00,98.45
3891.00,98.45
3890.00,98.44
3889.00,98.43
3888.00,98.44
3887.00,98.45
3886.00,98.44
3885.00,98.43
3884.00,98.42
3883.00,98.43
3882.00,98.45
3881.00,98.45
3880.00,98.43
3879.00,98.42
3878.00,98.42
3877.00,98.44
3876.00,98.45
3875.00,98.45
3874.00,98.43
3873.00,98.42
3872.00,98.42
3871.00,98.44
3870.00,98.44
3869.00,98.42
3868.00,98.41
3867.00,98.42
3866.00,98.43
3865.00,98.43
3864.00,98.41
3863.00,98.41
3862.00,98.42
3861.00,98.43
3860.00,98.43
3859.00,98.43
3858.00,98.43
3857.00,98.43
3856.00,98.44
3855.00,98.45
3854.00,98.45
3853.00,98.42
3852.00,98.40
3851.00,98.41
3850.00,98.42
3849.00,98.42
3848.00,98.41
3847.00,98.41
3846.00,98.42
3845.00,98.43
3844.00,98.44
3843.00,98.43
3842.00,98.43
3841.00,98.42
3840.00,98.43
3839.00,98.43
3838.00,98.42
3837.00,98.41
3836.00,98.41
3835.00,98.41
3834.00,98.41
3833.00,98.41
3832.00,98.41
3831.00,98.41
3830.00,98.42
3829.00,98.43
3828.00,98.44
3827.00,98.44
3826.00,98.44
3825.00,98.42
3824.00,98.42
3823.00,98.43
3822.00,98.44
3821.00,98.42
3820.00,98.39
3819.00,98.39
3818.00,98.41
3817.00,98.43
3816.00,98.42
3815.00,98.41
3814.00,98.42
3813.00,98.44
3812.00,98.45
3811.00,98.45
3810.00,98.44
3809.00,98.44
3808.00,98.45
3807.00,98.45
3806.00,98.44
3805.00,98.43
3804.00,98.43
3803.00,98.44
3802.00,98.44
3801.00,98.41
3800.00,98.40
3799.00,98.41
3798.00,98.42
3797.00,98.43
3796.00,98.42
3795.00,98.42
3794.00,98.43
3793.00,98.45
3792.00,98.47
3791.00,98.47
3790.00,98.47
3789.00,98.47
3788.00,98.48
3787.00,98.48
3786.00,98.48
3785.00,98.48
3784.00,98.47
3783.00,98.47
3782.00,98.47
3781.00,98.47
3780.00,98.47
3779.00,98.46
3778.00,98.46
3777.00,98.46
3776.00,98.47
3775.00,98.47
3774.00,98.46
3773.00,98.46
3772.00,98.46
3771.00,98.46
3770.00,98.46
3769.00,98.45
3768.00,98.44
3767.00,98.45
3766.00,98.45
3765.00,98.45
3764.00,98.44
3763.00,98.44
3762.00,98.44
3761.00,98.45
3760.00,98.44
3759.00,98.44
3758.00,98.43
3757.00,98.43
3756.00,98.43
3755.00,98.42
3754.00,98.42
3753.00,98.41
3752.00,98.41
3751.00,98.40
3750.00,98.39
3749.00,98.38
3748.00,98.36
3747.00,98.36
3746.00,98.37
3745.00,98.38
3744.00,98.36
3743.00,98.35
3742.00,98.37
3741.00,98.39
3740.00,98.38
3739.00,98.36
3738.00,98.35
3737.00,98.36
3736.00,98.37
3735.00,98.38
3734.00,98.38
3733.00,98.39
3732.00,98.39
3731.00,98.39
3730.00,98.39
3729.00,98.40
3728.00,98.41
3727.00,98.42
3726.00,98.42
3725.00,98.42
3724.00,98.43
3723.00,98.44
3722.00,98.43
3721.00,98.43
3720.00,98.43
3719.00,98.44
3718.00,98.44
3717.00,98.44
3716.00,98.44
3715.00,98.44
3714.00,98.44
3713.00,98.44
3712.00,98.43
3711.00,98.42
3710.00,98.42
3709.00,98.42
3708.00,98.42
3707.00,98.43
3706.00,98.43
3705.00,98.44
3704.00,98.44
3703.00,98.45
3702.00,98.45
3701.00,98.45
3700.00,98.45
3699.00,98.46
3698.00,98.46
3697.00,98.46
3696.00,98.46
3695.00,98.45
3694.00,98.45
3693.00,98.45
3692.00,98.44
3691.00,98.44
3690.00,98.43
3689.00,98.43
3688.00,98.42
3687.00,98.42
3686.00,98.43
3685.00,98.44
3684.00,98.44
3683.00,98.44
3682.00,98.44
3681.00,98.44
3680.00,98.44
3679.00,98.43
3678.00,98.43
3677.00,98.43
3676.00,98.42
3675.00,98.40
3674.00,98.38
3673.00,98.38
3672.00,98.40
3671.00,98.40
3670.00,98.39
3669.00,98.39
3668.00,98.40
3667.00,98.42
3666.00,98.44
3665.00,98.44
3664.00,98.44
3663.00,98.45
3662.00,98.46
3661.00,98.47
3660.00,98.47
3659.00,98.46
3658.00,98.47
3657.00,98.46
3656.00,98.45
3655.00,98.44
3654.00,98.43
3653.00,98.42
3652.00,98.41
3651.00,98.40
3650.00,98.38
3649.00,98.37
3648.00,98.37
3647.00,98.38
3646.00,98.39
3645.00,98.40
3644.00,98.41
3643.00,98.42
3642.00,98.43
3641.00,98.44
3640.00,98.45
3639.00,98.46
3638.00,98.46
3637.00,98.46
3636.00,98.46
3635.00,98.46
3634.00,98.45
3633.00,98.44
3632.00,98.43
3631.00,98.43
3630.00,98.43
3629.00,98.42
3628.00,98.41
3627.00,98.41
3626.00,98.42
3625.00,98.43
3624.00,98.42
3623.00,98.41
3622.00,98.42
3621.00,98.43
3620.00,98.44
3619.00,98.43
3618.00,98.42
3617.00,98.41
3616.00,98.41
3615.00,98.42
3614.00,98.41
3613.00,98.41
3612.00,98.40
3611.00,98.40
3610.00,98.41
3609.00,98.42
3608.00,98.42
3607.00,98.43
3606.00,98.43
3605.00,98.44
3604.00,98.44
3603.00,98.45
3602.00,98.45
3601.00,98.45
3600.00,98.45
3599.00,98.45
3598.00,98.45
3597.00,98.45
3596.00,98.45
3595.00,98.45
3594.00,98.44
3593.00,98.44
3592.00,98.44
3591.00,98.43
3590.00,98.43
3589.00,98.43
3588.00,98.43
3587.00,98.43
3586.00,98.43
3585.00,98.44
3584.00,98.44
3583.00,98.45
3582.00,98.45
3581.00,98.45
3580.00,98.46
3579.00,98.47
3578.00,98.47
3577.00,98.47
3576.00,98.47
3575.00,98.47
3574.00,98.47
3573.00,98.47
3572.00,98.47
3571.00,98.46
3570.00,98.45
3569.00,98.44
3568.00,98.44
3567.00,98.44
3566.00,98.43
3565.00,98.44
3564.00,98.44
3563.00,98.44
3562.00,98.44
3561.00,98.45
3560.00,98.45
3559.00,98.46
3558.00,98.47
3557.00,98.47
3556.00,98.47
3555.00,98.47
3554.00,98.47
3553.00,98.47
3552.00,98.47
3551.00,98.46
3550.00,98.46
3549.00,98.45
3548.00,98.45
3547.00,98.45
3546.00,98.45
3545.00,98.45
3544.00,98.46
3543.00,98.46
3542.00,98.46
3541.00,98.46
3540.00,98.46
3539.00,98.46
3538.00,98.47
3537.00,98.47
3536.00,98.47
3535.00,98.47
3534.00,98.47
3533.00,98.47
3532.00,98.46
3531.00,98.46
3530.00,98.46
3529.00,98.46
3528.00,98.46
3527.00,98.46
3526.00,98.45
3525.00,98.46
3524.00,98.46
3523.00,98.46
3522.00,98.46
3521.00,98.46
3520.00,98.47
3519.00,98.47
3518.00,98.47
3517.00,98.47
3516.00,98.47
3515.00,98.48
3514.00,98.48
3513.00,98.47
3512.00,98.47
3511.00,98.47
3510.00,98.47
3509.00,98.47
3508.00,98.47
3507.00,98.47
3506.00,98.47
3505.00,98.47
3504.00,98.46
3503.00,98.46
3502.00,98.46
3501.00,98.47
3500.00,98.47
3499.00,98.47
3498.00,98.47
3497.00,98.47
3496.00,98.47
3495.00,98.47
3494.00,98.47
3493.00,98.47
3492.00,98.47
3491.00,98.47
3490.00,98.47
3489.00,98.47
3488.00,98.47
3487.00,98.47
3486.00,98.47
3485.00,98.47
3484.00,98.47
3483.00,98.47
3482.00,98.47
3481.00,98.47
3480.00,98.47
3479.00,98.47
3478.00,98.47
3477.00,98.47
3476.00,98.47
3475.00,98.48
3474.00,98.48
3473.00,98.48
3472.00,98.48
3471.00,98.47
3470.00,98.47
3469.00,98.47
3468.00,98.47
3467.00,98.47
3466.00,98.47
3465.00,98.48
3464.00,98.48
3463.00,98.48
3462.00,98.48
3461.00,98.47
3460.00,98.47
3459.00,98.47
3458.00,98.48
3457.00,98.48
3456.00,98.48
3455.00,98.48
3454.00,98.48
3453.00,98.47
3452.00,98.47
3451.00,98.47
3450.00,98.47
3449.00,98.47
3448.00,98.47
3447.00,98.47
3446.00,98.46
3445.00,98.46
3444.00,98.47
3443.00,98.47
3442.00,98.47
3441.00,98.47
3440.00,98.47
3439.00,98.47
3438.00,98.47
3437.00,98.47
3436.00,98.47
3435.00,98.47
3434.00,98.47
3433.00,98.47
3432.00,98.47
3431.00,98.47
3430.00,98.47
3429.00,98.47
3428.00,98.47
3427.00,98.47
3426.00,98.47
3425.00,98.47
3424.00,98.47
3423.00,98.47
3422.00,98.47
3421.00,98.47
3420.00,98.47
3419.00,98.47
3418.00,98.47
3417.00,98.47
3416.00,98.47
3415.00,98.47
3414.00,98.47
3413.00,98.47
3412.00,98.47
3411.00,98.48
3410.00,98.48
3409.00,98.48
3408.00,98.48
3407.00,98.48
3406.00,98.48
3405.00,98.48
3404.00,98.48
3403.00,98.47
3402.00,98.47
3401.00,98.47
3400.00,98.47
3399.00,98.47
3398.00,98.47
3397.00,98.47
3396.00,98.47
3395.00,98.47
3394.00,98.47
3393.00,98.47
3392.00,98.47
3391.00,98.47
3390.00,98.47
3389.00,98.47
3388.00,98.47
3387.00,98.47
3386.00,98.47
3385.00,98.47
3384.00,98.47
3383.00,98.47
3382.00,98.47
3381.00,98.47
3380.00,98.47
3379.00,98.47
3378.00,98.47
3377.00,98.47
3376.00,98.47
3375.00,98.47
3374.00,98.47
3373.00,98.47
3372.00,98.47
3371.00,98.47
3370.00,98.47
3369.00,98.47
3368.00,98.47
3367.00,98.47
3366.00,98.47
3365.00,98.47
3364.00,98.47
3363.00,98.47
3362.00,98.47
3361.00,98.47
3360.00,98.47
3359.00,98.47
3358.00,98.47
3357.00,98.47
3356.00,98.47
3355.00,98.47
3354.00,98.47
3353.00,98.47
3352.00,98.47
3351.00,98.47
3350.00,98.47
3349.00,98.47
3348.00,98.47
3347.00,98.47
3346.00,98.47
3345.00,98.47
3344.00,98.47
3343.00,98.47
3342.00,98.47
3341.00,98.47
3340.00,98.47
3339.00,98.47
3338.00,98.47
3337.00,98.47
3336.00,98.47
3335.00,98.47
3334.00,98.47
3333.00,98.47
3332.00,98.47
3331.00,98.47
3330.00,98.47
3329.00,98.47
3328.00,98.47
3327.00,98.47
3326.00,98.47
3325.00,98.47
3324.00,98.47
3323.00,98.47
3322.00,98.47
3321.00,98.47
3320.00,98.47
3319.00,98.47
3318.00,98.47
3317.00,98.47
3316.00,98.47
3315.00,98.47
3314.00,98.47
3313.00,98.47
3312.00,98.47
3311.00,98.47
3310.00,98.47
3309.00,98.47
3308.00,98.47
3307.00,98.47
3306.00,98.47
3305.00,98.47
3304.00,98.47
3303.00,98.47
3302.00,98.48
3301.00,98.48
3300.00,98.48
3299.00,98.48
3298.00,98.47
3297.00,98.47
3296.00,98.47
3295.00,98.47
3294.00,98.47
3293.00,98.47
3292.00,98.47
3291.00,98.48
3290.00,98.48
3289.00,98.48
3288.00,98.47
3287.00,98.47
3286.00,98.47
3285.00,98.47
3284.00,98.47
3283.00,98.47
3282.00,98.47
3281.00,98.47
3280.00,98.47
3279.00,98.47
3278.00,98.47
3277.00,98.47
3276.00,98.47
3275.00,98.47
3274.00,98.46
3273.00,98.46
3272.00,98.46
3271.00,98.46
3270.00,98.47
3269.00,98.47
3268.00,98.47
3267.00,98.47
3266.00,98.47
3265.00,98.47
3264.00,98.47
3263.00,98.47
3262.00,98.47
3261.00,98.47
3260.00,98.47
3259.00,98.47
3258.00,98.47
3257.00,98.47
3256.00,98.47
3255.00,98.47
3254.00,98.47
3253.00,98.47
3252.00,98.47
3251.00,98.47
3250.00,98.47
3249.00,98.47
3248.00,98.47
3247.00,98.47
3246.00,98.47
3245.00,98.47
3244.00,98.47
3243.00,98.47
3242.00,98.47
3241.00,98.47
3240.00,98.47
3239.00,98.47
3238.00,98.47
3237.00,98.47
3236.00,98.47
3235.00,98.46
3234.00,98.46
3233.00,98.46
3232.00,98.47
3231.00,98.47
3230.00,98.47
3229.00,98.47
3228.00,98.47
3227.00,98.47
3226.00,98.47
3225.00,98.47
3224.00,98.47
3223.00,98.47
3222.00,98.47
3221.00,98.47
3220.00,98.47
3219.00,98.47
3218.00,98.47
3217.00,98.47
3216.00,98.47
3215.00,98.47
3214.00,98.47
3213.00,98.47
3212.00,98.47
3211.00,98.47
3210.00,98.47
3209.00,98.47
3208.00,98.47
3207.00,98.47
3206.00,98.47
3205.00,98.47
3204.00,98.47
3203.00,98.47
3202.00,98.47
3201.00,98.47
3200.00,98.47
3199.00,98.47
3198.00,98.47
3197.00,98.47
3196.00,98.47
3195.00,98.47
3194.00,98.47
3193.00,98.47
3192.00,98.47
3191.00,98.47
3190.00,98.48
3189.00,98.48
3188.00,98.48
3187.00,98.47
3186.00,98.47
3185.00,98.47
3184.00,98.47
3183.00,98.47
3182.00,98.47
3181.00,98.47
3180.00,98.47
3179.00,98.47
3178.00,98.47
3177.00,98.47
3176.00,98.47
3175.00,98.47
3174.00,98.47
3173.00,98.46
3172.00,98.46
3171.00,98.46
3170.00,98.46
3169.00,98.46
3168.00,98.46
3167.00,98.46
3166.00,98.46
3165.00,98.46
3164.00,98.46
3163.00,98.46
3162.00,98.46
3161.00,98.47
3160.00,98.47
3159.00,98.47
3158.00,98.47
3157.00,98.47
3156.00,98.47
3155.00,98.47
3154.00,98.47
3153.00,98.47
3152.00,98.47
3151.00,98.47
3150.00,98.47
3149.00,98.47
3148.00,98.47
3147.00,98.47
3146.00,98.47
3145.00,98.47
3144.00,98.47
3143.00,98.47
3142.00,98.47
3141.00,98.47
3140.00,98.47
3139.00,98.47
3138.00,98.47
3137.00,98.47
3136.00,98.47
3135.00,98.47
3134.00,98.47
3133.00,98.47
3132.00,98.47
3131.00,98.47
3130.00,98.47
3129.00,98.47
3128.00,98.47
3127.00,98.47
3126.00,98.47
3125.00,98.47
3124.00,98.46
3123.00,98.46
3122.00,98.46
3121.00,98.46
3120.00,98.46
3119.00,98.46
3118.00,98.46
3117.00,98.46
3116.00,98.46
3115.00,98.46
3114.00,98.46
3113.00,98.46
3112.00,98.46
3111.00,98.46
3110.00,98.46
3109.00,98.46
3108.00,98.46
3107.00,98.46
3106.00,98.47
3105.00,98.47
3104.00,98.47
3103.00,98.47
3102.00,98.47
3101.00,98.47
3100.00,98.47
3099.00,98.47
3098.00,98.47
3097.00,98.47
3096.00,98.47
3095.00,98.47
3094.00,98.47
3093.00,98.47
3092.00,98.47
3091.00,98.47
3090.00,98.47
3089.00,98.47
3088.00,98.47
3087.00,98.47
3086.00,98.47
3085.00,98.47
3084.00,98.47
3083.00,98.46
3082.00,98.46
3081.00,98.46
3080.00,98.46
3079.00,98.46
3078.00,98.46
3077.00,98.46
3076.00,98.46
3075.00,98.46
3074.00,98.46
3073.00,98.46
3072.00,98.46
3071.00,98.46
3070.00,98.46
3069.00,98.46
3068.00,98.46
3067.00,98.46
3066.00,98.46
3065.00,98.46
3064.00,98.46
3063.00,98.46
3062.00,98.46
3061.00,98.46
3060.00,98.46
3059.00,98.46
3058.00,98.46
3057.00,98.46
3056.00,98.46
3055.00,98.46
3054.00,98.46
3053.00,98.46
3052.00,98.46
3051.00,98.46
3050.00,98.46
3049.00,98.46
3048.00,98.46
3047.00,98.46
3046.00,98.46
3045.00,98.47
3044.00,98.47
3043.00,98.47
3042.00,98.47
3041.00,98.47
3040.00,98.47
3039.00,98.47
3038.00,98.47
3037.00,98.47
3036.00,98.47
3035.00,98.47
3034.00,98.47
3033.00,98.47
3032.00,98.47
3031.00,98.47
3030.00,98.47
3029.00,98.47
3028.00,98.47
3027.00,98.46
3026.00,98.46
3025.00,98.46
3024.00,98.46
3023.00,98.46
3022.00,98.46
3021.00,98.46
3020.00,98.46
3019.00,98.46
3018.00,98.46
3017.00,98.46
3016.00,98.46
3015.00,98.46
3014.00,98.46
3013.00,98.46
3012.00,98.46
3011.00,98.46
3010.00,98.46
3009.00,98.46
3008.00,98.46
3007.00,98.46
3006.00,98.46
3005.00,98.46
3004.00,98.46
3003.00,98.46
3002.00,98.46
3001.00,98.46
3000.00,98.46
2999.00,98.46
2998.00,98.46
2997.00,98.46
2996.00,98.46
2995.00,98.46
2994.00,98.46
2993.00,98.46
2992.00,98.46
2991.00,98.46
2990.00,98.46
2989.00,98.46
2988.00,98.46
2987.00,98.46
2986.00,98.46
2985.00,98.46
2984.00,98.46
2983.00,98.46
2982.00,98.46
2981.00,98.46
2980.00,98.46
2979.00,98.46
2978.00,98.46
2977.00,98.46
2976.00,98.45
2975.00,98.45
2974.00,98.45
2973.00,98.45
2972.00,98.45
2971.00,98.45
2970.00,98.45
2969.00,98.45
2968.00,98.45
2967.00,98.45
2966.00,98.45
2965.00,98.45
2964.00,98.45
2963.00,98.45
2962.00,98.45
2961.00,98.45
2960.00,98.45
2959.00,98.45
2958.00,98.45
2957.00,98.45
2956.00,98.46
2955.00,98.46
2954.00,98.46
2953.00,98.46
2952.00,98.46
2951.00,98.46
2950.00,98.46
2949.00,98.46
2948.00,98.46
2947.00,98.46
2946.00,98.46
2945.00,98.46
2944.00,98.46
2943.00,98.46
2942.00,98.46
2941.00,98.46
2940.00,98.46
2939.00,98.46
2938.00,98.46
2937.00,98.47
2936.00,98.47
2935.00,98.47
2934.00,98.47
2933.00,98.47
2932.00,98.47
2931.00,98.47
2930.00,98.47
2929.00,98.47
2928.00,98.47
2927.00,98.47
2926.00,98.47
2925.00,98.48
2924.00,98.48
2923.00,98.48
2922.00,98.48
2921.00,98.48
2920.00,98.48
2919.00,98.48
2918.00,98.48
2917.00,98.48
2916.00,98.47
2915.00,98.47
2914.00,98.47
2913.00,98.47
2912.00,98.47
2911.00,98.47
2910.00,98.46
2909.00,98.46
2908.00,98.46
2907.00,98.46
2906.00,98.46
2905.00,98.46
2904.00,98.46
2903.00,98.46
2902.00,98.46
2901.00,98.46
2900.00,98.45
2899.00,98.45
2898.00,98.45
2897.00,98.45
2896.00,98.45
2895.00,98.46
2894.00,98.46
2893.00,98.46
2892.00,98.46
2891.00,98.46
2890.00,98.46
2889.00,98.46
2888.00,98.46
2887.00,98.46
2886.00,98.46
2885.00,98.46
2884.00,98.46
2883.00,98.46
2882.00,98.46
2881.00,98.46
2880.00,98.46
2879.00,98.46
2878.00,98.46
2877.00,98.46
2876.00,98.46
2875.00,98.46
2874.00,98.46
2873.00,98.46
2872.00,98.46
2871.00,98.46
2870.00,98.46
2869.00,98.46
2868.00,98.46
2867.00,98.46
2866.00,98.46
2865.00,98.46
2864.00,98.46
2863.00,98.46
2862.00,98.46
2861.00,98.46
2860.00,98.46
2859.00,98.46
2858.00,98.46
2857.00,98.46
2856.00,98.46
2855.00,98.46
2854.00,98.46
2853.00,98.47
2852.00,98.47
2851.00,98.47
2850.00,98.47
